2022.10.12 02:04:59 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=0 | status=SUCCESS | time=22ms
2022.10.12 02:04:59 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=1ms
2022.10.12 02:05:00 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Persist issues | cacheSize=66.5 kB | inserts=5 | updates=85 | merged=0 | status=SUCCESS | time=118ms
2022.10.12 02:05:00 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Delete issue changes | changes=0 | status=SUCCESS | time=0ms
2022.10.12 02:05:00 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=9ms
2022.10.12 02:05:00 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Persist events | status=SUCCESS | time=10ms
2022.10.12 02:05:01 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Persist sources | status=SUCCESS | time=1430ms
2022.10.12 02:05:01 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Persist cross project duplications | status=SUCCESS | time=0ms
2022.10.12 02:05:01 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Enable analysis | status=SUCCESS | time=6ms
2022.10.12 02:05:01 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Update last usage date of quality profiles | status=SUCCESS | time=13ms
2022.10.12 02:05:02 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Purge db | status=SUCCESS | time=926ms
2022.10.12 02:05:04 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Index analysis | status=SUCCESS | time=1846ms
2022.10.12 02:05:04 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Update need issue sync for branch | status=SUCCESS | time=2ms
2022.10.12 02:05:04 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Publishing taint vulnerabilities events | status=SUCCESS | time=8ms
2022.10.12 02:05:04 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Send issue notifications | newIssuesNotifs=0 | newIssuesDeliveries=0 | myNewIssuesNotifs=0 | myNewIssuesDeliveries=0 | changesNotifs=0 | changesDeliveries=0 | status=SUCCESS | time=6ms
2022.10.12 02:05:04 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Publish task results | status=SUCCESS | time=1ms
2022.10.12 02:05:04 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.s.ComputationStepExecutor] Trigger refresh of Portfolios and Applications | status=SUCCESS | time=0ms
2022.10.12 02:05:04 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.p.a.p.PostProjectAnalysisTasksExecutor] Webhooks | globalWebhooks=0 | projectWebhooks=0 | status=SUCCESS | time=8ms
2022.10.12 02:05:05 INFO  ce[AYPIwagM2Uutj6JoNNi9][o.s.c.t.CeWorkerImpl] Executed task | project=healistry-ui-admin-new-sonar | type=REPORT | id=AYPIwagM2Uutj6JoNNi9 | submitter=admin | status=SUCCESS | time=26320ms
2022.10.12 02:07:04 INFO  ce[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2022.10.12 02:07:04 INFO  ce[][o.s.ce.app.CeServer] Compute Engine is stopping...
2022.10.12 02:07:04 INFO  ce[][o.s.c.t.CeProcessingSchedulerImpl] Gracefully stopping workers...
2022.10.12 02:07:04 INFO  ce[][o.s.ce.app.CeServer] Compute Engine is stopped
